Mon Jul 28 16:31:13 2025    timing.txt

         217305285 function calls (215635255 primitive calls) in 129.647 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   182940    0.043    0.000    0.056    0.000 {method 'find_bit' of 'qiskit._accelerate.circuit.DAGCircuit' objects}
153358/151340    0.031    0.000    0.054    0.000 {built-in method __new__ of type object at 0x10415c130}
     7791    0.042    0.000    0.054    0.000 {method 'op_nodes' of 'qiskit._accelerate.circuit.DAGCircuit' objects}
  672/264    0.002    0.000    0.054    0.000 superop.py:334(_append_instruction)
    85176    0.034    0.000    0.054    0.000 op_shape.py:224(auto)
     5185    0.002    0.000    0.053    0.000 parameterexpression.py:443(__radd__)
    14052    0.030    0.000    0.053    0.000 quantumcircuit.py:3088(_add_qreg)
        1    0.000    0.000    0.053    0.053 _sputils.py:1(<module>)
        3    0.000    0.000    0.053    0.018 _util.py:1(<module>)
        2    0.000    0.000    0.053    0.026 validations.py:101(validate_rzz_pubs)
       76    0.000    0.000    0.051    0.001 target.py:170(__getstate__)
       76    0.000    0.000    0.051    0.001 target.py:146(_calibration_prop)
       66    0.000    0.000    0.051    0.001 calibration_entries.py:357(get_schedule)
       11    0.000    0.000    0.051    0.005 core.py:1(<module>)
       33    0.000    0.000    0.051    0.002 calibration_entries.py:322(_build_schedule)
    27026    0.008    0.000    0.051    0.000 quantumcircuit.py:6665(append)
   596981    0.051    0.000    0.051    0.000 {method 'keys' of 'dict' objects}
223931/121024    0.066    0.000    0.050    0.000 copy.py:232(_keep_alive)
        1    0.000    0.000    0.050    0.050 _array_api.py:1(<module>)
   122954    0.035    0.000    0.050    0.000 quantumcircuit.py:3121(find_bit)
   150661    0.040    0.000    0.050    0.000 quantumcircuit.py:1266(data)
        1    0.000    0.000    0.050    0.050 quantumcircuit.py:1(<module>)
        1    0.000    0.000    0.050    0.050 _laplacian.py:1(<module>)
2593/2467    0.002    0.000    0.049    0.000 utils.py:49(is_simulator)
     2463    0.049    0.000    0.049    0.000 {built-in method _io.open_code}
        2    0.000    0.000    0.049    0.024 measures.py:1(<module>)
        1    0.000    0.000    0.048    0.048 pycode.py:1(<module>)
   491848    0.048    0.000    0.048    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.048    0.048 codeprinter.py:1(<module>)
5184/5183    0.012    0.000    0.047    0.000 _index_tricks_impl.py:690(__init__)
2595/2468    0.001    0.000    0.047    0.000 fake_backend.py:228(configuration)
        1    0.000    0.000    0.047    0.047 statevector.py:1(<module>)
        1    0.000    0.000    0.046    0.046 quantum_state.py:1(<module>)
139432/132545    0.024    0.000    0.046    0.000 <frozen abc>:121(__subclasscheck__)
    25595    0.035    0.000    0.045    0.000 uuid.py:142(__init__)
      322    0.000    0.000    0.045    0.000 pulse_instruction.py:569(_get_sequences)
        5    0.000    0.000    0.045    0.009 common.py:1(<module>)
    71486    0.016    0.000    0.044    0.000 high_level_synthesis.py:844(_instruction_supported)
        8    0.000    0.000    0.044    0.005 __init__.py:326(__getattr__)
      428    0.001    0.000    0.044    0.000 _parser.py:970(parse)
    27240    0.020    0.000    0.044    0.000 quantumcircuit.py:2576(_append)
        1    0.000    0.000    0.044    0.044 generate_preset_pass_manager.py:1(<module>)
     2592    0.004    0.000    0.043    0.000 trivial_layout.py:50(run)
        1    0.000    0.000    0.043    0.043 _fontconfig_pattern.py:1(<module>)
      158    0.000    0.000    0.043    0.000 pulse_instruction.py:812(_convert_parametric_pulse)
 1470/428    0.002    0.000    0.042    0.000 _parser.py:451(_parse_sub)
    12960    0.006    0.000    0.042    0.000 layout.py:116(__setitem__)
 4138/205    0.002    0.000    0.042    0.000 sympify.py:98(sympify)
      148    0.005    0.000    0.042    0.000 quantum_error.py:45(__init__)
        2    0.000    0.000    0.042    0.021 result.py:1(<module>)
    16597    0.012    0.000    0.042    0.000 quantumcircuit.py:1483(_name_update)
   627467    0.042    0.000    0.042    0.000 parameter.py:162(__hash__)
 1919/478    0.016    0.000    0.042    0.000 _parser.py:511(_parse)
        1    0.000    0.000    0.041    0.041 level0.py:1(<module>)
   114134    0.041    0.000    0.041    0.000 {method 'instruction_supported' of 'qiskit._accelerate.target.BaseTarget' objects}
2596/2469    0.029    0.000    0.040    0.000 backend_configuration.py:393(from_dict)
      227    0.000    0.000    0.040    0.000 artist.py:1413(__init__)
      227    0.014    0.000    0.040    0.000 artist.py:1433(get_aliases)
   515992    0.039    0.000    0.039    0.000 instruction.py:659(name)
4743/4428    0.002    0.000    0.039    0.000 typing.py:426(inner)
 2142/326    0.001    0.000    0.039    0.000 cache.py:69(wrapper)
     2592    0.004    0.000    0.039    0.000 layout.py:286(generate_trivial_layout)
    51221    0.028    0.000    0.038    0.000 quantumcircuit.py:3184(_check_dups)
        1    0.000    0.000    0.038    0.038 _axes.py:1(<module>)
       79    0.000    0.000    0.037    0.000 symbolic_pulses.py:599(__init__)
    27/12    0.000    0.000    0.036    0.003 operations.py:52(__new__)
        1    0.000    0.000    0.036    0.036 patches.py:1(<module>)
221013/218418    0.030    0.000    0.036    0.000 {built-in method builtins.hash}
       79    0.000    0.000    0.036    0.000 symbolic_pulses.py:408(__init__)
       79    0.000    0.000    0.036    0.000 symbolic_pulses.py:511(validate_parameters)
 1616/208    0.000    0.000    0.035    0.000 sympify.py:488(_sympify)
    41472    0.031    0.000    0.035    0.000 _methods.py:77(_count_reduce_items)
     2592    0.001    0.000    0.035    0.000 filter_op_nodes.py:62(run)
   395401    0.035    0.000    0.035    0.000 instruction.py:300(params)
     7839    0.002    0.000    0.035    0.000 depth.py:31(run)
       42    0.001    0.000    0.035    0.001 symbolic_pulses.py:1386(__new__)
     2592    0.028    0.000    0.034    0.000 {filter_op_nodes}
        6    0.000    0.000    0.034    0.006 add.py:181(flatten)
        1    0.000    0.000    0.034    0.034 contour.py:1(<module>)
   124287    0.026    0.000    0.034    0.000 {method 'add' of 'set' objects}
      158    0.000    0.000    0.034    0.000 symbolic_pulses.py:164(__get__)
    86877    0.034    0.000    0.034    0.000 parameterexpression.py:629(numeric)
        4    0.000    0.000    0.034    0.008 symbolic_pulses.py:174(__set__)
    61090    0.023    0.000    0.033    0.000 quantumcircuit.py:6729(_bit_argument_conversion)
        4    0.000    0.000    0.033    0.008 lambdify.py:187(lambdify)
    55072    0.022    0.000    0.033    0.000 high_level_synthesis.py:660(_methods_to_try)
    20110    0.017    0.000    0.033    0.000 parameter.py:94(assign)
        1    0.000    0.000    0.033    0.033 tensor.py:1(<module>)
     7839    0.032    0.000    0.032    0.000 {method 'depth' of 'qiskit._accelerate.circuit.DAGCircuit' objects}
        7    0.000    0.000    0.032    0.005 random.py:1(<module>)
    96350    0.022    0.000    0.032    0.000 __init__.py:1509(info)
      498    0.000    0.000    0.031    0.000 basic.py:182(__init_subclass__)
      499    0.015    0.000    0.031    0.000 assumptions.py:614(_prepare_class_assumptions)
     1193    0.000    0.000    0.031    0.000 inspect.py:3342(signature)
        4    0.000    0.000    0.031    0.008 auth.py:1(<module>)
        1    0.000    0.000    0.030    0.030 matplotlib.py:1040(_draw_ops)
   234752    0.030    0.000    0.030    0.000 register.py:171(__iter__)
     5184    0.022    0.000    0.030    0.000 {method 'add_qreg' of 'qiskit._accelerate.circuit.DAGCircuit' objects}
     1193    0.001    0.000    0.030    0.000 inspect.py:3066(from_callable)
15556/15553    0.004    0.000    0.030    0.000 {built-in method builtins.sorted}
        2    0.000    0.000    0.030    0.015 builder.py:1(<module>)
65450/65449    0.018    0.000    0.030    0.000 copyreg.py:98(__newobj__)
     2245    0.006    0.000    0.030    0.000 quantumcircuit.py:2038(copy_with_remapping)
   110416    0.030    0.000    0.030    0.000 {method 'replace' of 'qiskit._accelerate.circuit.CircuitInstruction' objects}
    79462    0.019    0.000    0.030    0.000 bit.py:60(__repr__)
1603/1194    0.005    0.000    0.030    0.000 inspect.py:2477(_signature_from_callable)
        1    0.000    0.000    0.030    0.030 backend_bases.py:1(<module>)
   235/15    0.000    0.000    0.030    0.002 _generate_schema.py:620(generate_schema)
     2612    0.012    0.000    0.030    0.000 passmanager.py:383(_update_passmanager)
   310/15    0.000    0.000    0.030    0.002 _generate_schema.py:906(_generate_schema_inner)
   310/15    0.001    0.000    0.029    0.002 _generate_schema.py:931(match_type)
   254423    0.024    0.000    0.029    0.000 {built-in method builtins.issubclass}
      428    0.000    0.000    0.029    0.000 _compiler.py:576(_code)
    18/15    0.000    0.000    0.029    0.002 _generate_schema.py:1762(_dataclass_schema)
    10368    0.012    0.000    0.029    0.000 layout.py:186(add_register)
      408    0.003    0.000    0.029    0.000 superop.py:183(compose)
     5184    0.003    0.000    0.029    0.000 sampler_pub.py:85(coerce)
        1    0.000    0.000    0.029    0.029 axes3d.py:1(<module>)
        1    0.000    0.000    0.029    0.029 f2py2e.py:1(<module>)
       87    0.000    0.000    0.029    0.000 dispatcher.py:178(add)
        1    0.000    0.000    0.028    0.028 iterative.py:1(<module>)
       87    0.000    0.000    0.028    0.000 dispatcher.py:222(reorder)
        1    0.000    0.000    0.028    0.028 partfrac.py:1(<module>)
2832/2568    0.002    0.000    0.028    0.000 quantum_error.py:151(_to_circuit)
        1    0.000    0.000    0.028    0.028 decorator.py:59(xthreaded)
        1    0.000    0.000    0.028    0.028 decorator.py:10(threaded_factory)
